Year,Quarter,Number of workers (in thousands) - Total,Number of workers (in thousands) - Men,Number of workers (in thousands) - Women,Median weekly earnings (in current dollars) - Total,Median weekly earnings (in current dollars) - Men,Median weekly earnings (in current dollars) - Women,Median weekly earnings (in constant dollars) - Total,Median weekly earnings (in constant dollars) - Men,Median weekly earnings (in constant dollars) - Women
2009,4,98555,54410,44145,747,823,666,344,379,307
2010,1,98143,54098,44045,748,836,662,344,384,304
2010,2,99605,55028,44577,742,814,671,342,374,309
2010,3,100412,55620,44792,746,821,670,342,377,308
2010,4,99958,55486,44472,750,826,676,341,376,308
2011,1,99670,55337,44333,750,821,679,338,370,306
2011,2,100347,55821,44526,754,830,687,336,370,306
2011,3,100495,56046,44449,760,836,681,336,370,301
2011,4,101337,56687,44650,760,838,686,335,369,302
2012,1,102161,57110,45051,764,841,693,335,368,303
2012,2,102525,57079,45447,772,870,687,337,380,300
2012,3,102587,57207,45380,766,836,693,333,364,302
2012,4,103748,57772,45977,771,868,690,333,375,298
2013,1,103928,57884,46044,768,860,699,331,370,301
2013,2,103988,57944,46044,777,863,706,335,372,304
2013,3,104400,58082,46318,779,855,705,334,367,302
2013,4,104764,58095,46669,782,865,712,334,369,304
2014,1,105633,58682,46951,790,865,716,335,367,304
2014,2,106342,59486,46855,781,860,715,330,363,302
2014,3,106726,59543,47183,798,878,721,336,370,304
2014,4,107436,60123,47313,795,878,724,336,371,306
2015,1,108486,60364,48122,801,886,724,341,377,307
2015,2,108544,60400,48144,803,890,726,339,376,306
2015,3,109269,60977,48292,810,896,727,341,377,306
2015,4,110049,61273,48776,822,904,730,345,380,307
2016,1,110427,61627,48799,823,903,743,346,380,312
2016,2,110929,61787,49142,827,914,744,345,382,311
2016,3,111566,62082,49483,833,917,750,346,381,312
2016,4,111463,62249,49214,846,924,760,349,382,314
2017,1,111978,62462,49516,857,940,759,351,385,311
2017,2,113118,62942,50176,862,939,780,353,385,320
2017,3,113623,63155,50468,865,943,771,353,385,314
2017,4,114372,63377,50996,854,943,771,345,381,312
2018,1,114678,64007,50671,874,955,776,350,383,311
2018,2,115481,64136,51345,880,964,780,351,385,312
2018,3,115945,64198,51747,893,980,801,355,389,318
2018,4,116160,64237,51923,897,991,796,355,392,315
